listing_id,host_id,listing_type,reviews,satisfaction_rate,accommodates,bedrooms,price,latitude,longitude
14520090,4726148,Entire home/apt,4,5,4,2,252,51.454916,-2.590234
10084839,17045922,Entire home/apt,4,5,8,5,250,51.473967,-2.586516
6366965,27890452,Entire home/apt,6,5,5,3,284,51.440444,-2.549494
13557699,20648813,Entire home/apt,0,0,2,0,212,51.453683,-2.597213
11735084,17511373,Entire home/apt,15,5,10,4,228,51.435692,-2.568035
3906876,20235167,Entire home/apt,25,4.5,4,2,298,51.449228,-2.609084
3879288,8318434,Entire home/apt,1,0,4,2,214,51.452755,-2.595784
13492540,77327526,Entire home/apt,1,0,6,4,215,51.473547,-2.586424
6173143,17137345,Entire home/apt,2,0,8,4,228,51.470598,-2.596754
13557793,20648813,Entire home/apt,0,0,2,1,221,51.453716,-2.596283
15504296,60611927,Entire home/apt,0,0,4,2,227,51.454411,-2.587954
4006315,20772752,Entire home/apt,31,5,7,3,215,51.43848,-2.615896
12017766,64287270,Entire home/apt,4,4.5,5,3,221,51.435325,-2.615549
12179906,13842116,Entire home/apt,17,5,2,0,227,51.451104,-2.60181
13918650,82613671,Entire home/apt,0,0,6,4,253,51.453131,-2.619012
8681198,18094242,Entire home/apt,53,5,7,3,221,51.466542,-2.616243
7866713,16622023,Entire home/apt,2,0,5,2,239,51.446928,-2.606936
13828637,27279355,Entire home/apt,6,5,6,3,253,51.469754,-2.575958
8967044,45271036,Entire home/apt,3,4.5,7,3,294,51.477612,-2.556229
14460162,87252220,Entire home/apt,2,0,4,2,228,51.448343,-2.599934
13557886,20648813,Entire home/apt,0,0,4,2,306,51.45152,-2.597728
6620508,19337016,Entire home/apt,69,5,5,3,210,51.454556,-2.61967
7178384,1297767,Entire home/apt,32,5,6,3,253,51.46961,-2.584412
14350530,826302,Entire home/apt,18,5,10,4,240,51.46552,-2.591787
15327120,11141720,Entire home/apt,0,0,4,2,234,51.442867,-2.566544
14464480,16746450,Entire home/apt,0,0,7,3,190,51.489355,-2.538214
2590297,13260723,Entire home/apt,15,5,6,2,190,51.462023,-2.610455
5727533,28520687,Entire home/apt,0,0,7,4,203,51.479535,-2.585755
7366399,14410812,Entire home/apt,9,5,8,5,190,51.473145,-2.586797
11382588,10984783,Entire home/apt,2,0,7,3,188,51.480648,-2.596459
12988343,15483642,Entire home/apt,0,0,7,4,190,51.481848,-2.590469
2184737,11141720,Entire home/apt,35,5,5,2,190,51.442467,-2.567094
12421850,60611927,Entire home/apt,14,4.5,4,2,188,51.453901,-2.587615
14210636,86252486,Entire home/apt,3,4.5,6,4,190,51.451807,-2.617486
